web-scraper-order;web-scraper-start-url;Headline;Date;URL;URL-href;
1685289940-1;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Die Regierung hilft Unternehmen und Mittelschicht nicht genug;13.09.2022;;https://www.handelsblatt.com/meinung/homo-oeconomicus/gastkommentar-homo-oeconomicus-die-regierung-hilft-unternehmen-und-mittelschicht-nicht-genug/28677740.html
1685289940-2;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Neue Hürde fürs Entlastungspaket: Bundesländer wollen über Atomlaufzeiten sprechen;13.09.2022;;https://www.handelsblatt.com/politik/energiekrise-neue-huerde-fuers-entlastungspaket-laender-wollen-ueber-atomlaufzeiten-sprechen-/28674048.html
1685289940-3;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Rezession ja oder nein, Inflation rauf oder runter? Prognosen von Ökonomen gehen drastisch auseinander;13.09.2022;;https://www.handelsblatt.com/politik/konjunktur/nachrichten/konjunktur-rezession-ja-oder-nein-inflation-rauf-oder-runter-prognosen-von-oekonomen-gehen-drastisch-auseinander/28676934.html
1685289940-4;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Sozialverband kritisiert neue Regelsätze als zu gering;13.09.2022;;https://www.handelsblatt.com/politik/buergergeld-sozialverband-kritisiert-neue-regelsaetze-als-zu-gering/28675686.html
1685289940-5;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Künftiges Bürgergeld soll für Alleinstehende 502 Euro betragen;10.09.2022;;https://www.handelsblatt.com/politik/deutschland/medienbericht-kuenftiges-buergergeld-soll-fuer-alleinstehende-502-euro-betragen/28673416.html
1685289940-6;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;„Deutschland steht zusammen“ – Das Maßnahmenpaket des Bundes im Wortlaut;04.09.2022;;https://www.handelsblatt.com/politik/deutschland/originaltext-deutschland-steht-zusammen-das-massnahmenpaket-des-bundes-im-wortlaut/28656708.html
1685289940-7;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Andrea Nahles: Geplante Erhöhung des Arbeitslosenbeitrags könnte zu gering sein;02.09.2022;;https://www.handelsblatt.com/politik/deutschland/ba-chefin-im-interview-andrea-nahles-geplante-erhoehung-des-arbeitslosenbeitrags-koennte-zu-gering-sein/28642598.html
1685289940-8;https://www.handelsblatt.com/suche/?p3616352=10&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Welche weiteren Entlastungen wären sinnvoll?;01.09.2022;;https://www.handelsblatt.com/meinung/kommentare/leserdebatte-welche-weiteren-entlastungen-waeren-sinnvoll/28648586.html
1685289959-24;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Heil stellt vereinfachte Kurzarbeit über Jahresende hinaus in Aussicht;01.10.2022;;https://www.handelsblatt.com/politik/deutschland/kurzarbeit-heil-stellt-vereinfachte-kurzarbeit-ueber-jahresende-hinaus-in-aussicht/28719066.html
1685289959-25;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Falsches Signal;25.09.2022;;https://www.handelsblatt.com/audio/bto/bto-2-0-der-oekonomie-podcast-mit-dr-daniel-stelter-falsches-signal/28763784.html
1685289959-26;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;USA erhöhen Zinsen: Die Zeit der Falken;22.09.2022;;https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-usa-erhoehen-zinsen-die-zeit-der-falken-/28697476.html
1685289959-27;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Fünf Gründe für die Kommunikationsprobleme des Kanzlers;20.09.2022;;https://www.handelsblatt.com/politik/deutschland/olaf-scholz-fuenf-gruende-fuer-die-kommunikationsprobleme-des-kanzlers/28692244.html
1685289959-28;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Im Bundesrat formiert sich Widerstand gegen Entlastungspaket;17.09.2022;;https://www.handelsblatt.com/politik/deutschland/entlastungspaket-im-bundesrat-formiert-sich-widerstand-gegen-entlastungspaket/28688110.html
1685289959-29;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bis zu 855 Euro mehr im Jahr: Steigende Sozialbeiträge zehren an Steuerentlastungen;16.09.2022;;https://www.handelsblatt.com/politik/deutschland/hohe-sozialabgaben-bis-zu-855-euro-mehr-im-jahr-steigende-sozialbeitraege-zehren-an-steuerentlastungen/28681756.html
1685289959-30;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bis zu 1742 Euro für eine Familie mit zwei Kindern: So viel Bürgergeld zahlt der Staat künftig;14.09.2022;;https://www.handelsblatt.com/politik/deutschland/sozialstaat-bis-zu-1742-euro-fuer-eine-familie-mit-zwei-kindern-so-viel-buergergeld-zahlt-der-staat-kuenftig/28680970.html
1685289959-31;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Lindner für automatische Anpassung der Einkommensteuer an Inflation;14.09.2022;;https://www.handelsblatt.com/politik/deutschland/kalte-progression-lindner-fuer-automatische-anpassung-der-einkommensteuer-an-inflation/28680494.html
1685289959-32;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Kabinett beschließt Bürgergeld, Steuerreform und höhere Homeoffice-Pauschale;14.09.2022;;https://www.handelsblatt.com/politik/deutschland/ende-von-hartz-iv-bundeskabinett-beschliesst-buergergeld-und-steuerreform/28680204.html
1685289959-33;https://www.handelsblatt.com/suche/?p3616352=9&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Die große Luftblasenbrücke von Olaf Scholz: Die Ampel rettet alle – nur nicht den Mittelstand;13.09.2022;;https://www.handelsblatt.com/meinung/kommentare/kommentar-die-grosse-luftblasenbruecke-von-olaf-scholz-die-ampel-rettet-alle-nur-nicht-den-mittelstand/28677956.html
1685289965-53;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;49 Euro: Das Deutschlandticket kommt;03.11.2022;;https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-49-euro-das-deutschlandticket-kommt-/28785226.html
1685289965-54;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Gaspreisbremse soll vorgezogen werden – Strompreis wird bei 40 Cent gedeckelt;02.11.2022;;https://www.handelsblatt.com/politik/deutschland/gaspreisbremse-massnahme-greift-frueher-als-geplant-auch-strompreisdeckel-steht-fest/28781234.html
1685289965-55;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bund und Länder streiten über Flüchtlingskosten – „Deutschlandticket“ soll für zwei Jahre finanziert werden;01.11.2022;;https://www.handelsblatt.com/politik/deutschland/ministerpraesidentenkonferenz-bund-und-laender-streiten-ueber-fluechtlingskosten-deutschlandticket-soll-fuer-zwei-jahre-finanziert-werden/28781640.html
1685289965-56;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bundesrat billigt Milliarden-Finanzspritze für Krankenkassen;28.10.2022;;https://www.handelsblatt.com/politik/deutschland/krankenversicherung-bundesrat-billigt-milliarden-finanzspritze-fuer-krankenkassen/28775798.html
1685289965-57;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Länder drängen auf Korrekturen am geplanten Bürgergeld;28.10.2022;;https://www.handelsblatt.com/politik/deutschland/sozialreform-laender-draengen-auf-korrekturen-am-geplanten-buergergeld/28774600.html
1685289965-58;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Ampelkoalition lässt Bundesrechnungshof nicht bei Bürgergeld-Anhörung auftreten;20.10.2022;;https://www.handelsblatt.com/politik/deutschland/sozialpolitik-ampelkoalition-laesst-bundesrechnungshof-nicht-bei-buergergeld-anhoerung-auftreten/28756480.html
1685289965-59;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bundesrechnungshof: Bürgergeld ist kontraproduktiv und birgt Risiken für den Bundeshaushalt;14.10.2022;;https://www.handelsblatt.com/politik/deutschland/sozialstaat-bundesrechnungshof-ruegt-buergergeld-als-kontraproduktiv-und-risikoreich-fuer-den-bundeshaushalt/28747938.html
1685289965-60;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Arbeitsminister Heil: Bürgergeld wird größte Sozialreform seit 20 Jahren;13.10.2022;;https://www.handelsblatt.com/politik/deutschland/hartz-iv-reform-arbeitsminister-heil-buergergeld-wird-groesste-sozialreform-seit-20-jahren/28744032.html
1685289965-61;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Die Bundesregierung sendet falsche Signale – Wir müssen wieder mehr arbeiten;08.10.2022;;https://www.handelsblatt.com/meinung/homo-oeconomicus/gastkommentar-homo-oeconomicus-die-bundesregierung-sendet-falsche-signale-wir-muessen-wieder-mehr-arbeiten/28728360.html
1685289965-62;https://www.handelsblatt.com/suche/?p3616352=8&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Der Streit über das Bürgergeld zeigt: Gesellschaften sind keine Ökonomien;04.10.2022;;https://www.handelsblatt.com/meinung/homo-oeconomicus/gastkommentar-homo-oeconomicus-der-streit-ueber-das-buergergeld-zeigt-gesellschaften-sind-keine-oekonomien/28717564.html
1685289973-82;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Ampel und Länder streiten weiter über das Bürgergeld – Auch an der Wohngeldreform gibt es Kritik;07.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialreformen-ampel-und-laender-streiten-weiter-ueber-das-buergergeld-auch-an-der-wohngeldreform-gibt-es-kritik-/28793196.html
1685289973-83;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bund plant 200 Milliarden Euro Entlastungen bis 2024 – Großteil für Energiepreisbremsen;07.11.2022;;https://www.handelsblatt.com/politik/deutschland/energiekrise-bund-plant-200-milliarden-euro-entlastungen-bis-2024-grossteil-fuer-energiepreisbremsen/28793926.html
1685289973-84;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;SPD und FDP lehnen Merz-Vorschlag zu Bürgergeld ab;07.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialreform-spd-und-fdp-lehnen-merz-vorschlag-zu-buergergeld-ab/28793044.html
1685289973-85;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bürgergeld: Gut gemeint, aber noch nicht gut gemacht;07.11.2022;;https://www.handelsblatt.com/meinung/kommentare/kommentar-buergergeld-gut-gemeint-aber-noch-nicht-gut-gemacht/28790314.html
1685289973-86;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Kabinett beschließt 71 Milliarden Etatentwurf ohne neue Schulden;06.11.2022;;https://www.handelsblatt.com/politik/deutschland/bayern-kabinett-beschliesst-71-milliarden-etatentwurf-ohne-neue-schulden-/28791658.html
1685289973-87;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;CDU-Chef Merz lehnt weiter das Bürgergeld ab – Heil wirft Egoismus vor;06.11.2022;;https://www.handelsblatt.com/politik/deutschland/reform-cdu-chef-merz-lehnt-weiter-das-buergergeld-ab-heil-wirft-egoismus-vor/28791440.html
1685289973-88;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Tafeln verzeichnen Anstieg um 50 Prozent: Rund zwei Millionen Bedürftige;05.11.2022;;https://www.handelsblatt.com/politik/deutschland/inflation-tafeln-verzeichnen-anstieg-um-50-prozent-rund-zwei-millionen-beduerftige-/28790924.html
1685289973-89;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Wenn sich Arbeit nicht mehr lohnt – So könnte das geplante Bürgergeld wirken;05.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialstaat-reform-wenn-sich-arbeiten-nicht-mehr-lohnt-wie-das-buergergeld-das-lohnabstandsgebot-verletzt/28783048.html
1685289973-90;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Union kritisiert auch neue Ampel-Pläne zum Bürgergeld – Lindner verteidigt Vorhaben;05.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialpolitik-union-kritisiert-auch-neue-ampel-plaene-zum-buergergeld-lindner-verteidigt-vorhaben/28790768.html
1685289973-91;https://www.handelsblatt.com/suche/?p3616352=7&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Ampel einig über Änderungen am Bürgergeld  – Nur angemessene Heizkosten werden übernommen;04.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialreform-ampel-einig-ueber-aenderungen-am-buergergeld-nur-angemessene-heizkosten-werden-uebernommen/28789284.html
1685289979-111;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;SPD und Thüringens Ministerpräsident Ramelow üben Kritik an Bürgergeld-Ablehnung der Union;13.11.2022;;https://www.handelsblatt.com/politik/deutschland/koalition-spd-und-thueringens-ministerpraesident-ramelow-ueben-kritik-an-buergergeld-ablehnung-der-union/28806214.html
1685289979-112;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bundesagentur für Arbeit kann mit Wiederaufbau der Rücklage beginnen;11.11.2022;;https://www.handelsblatt.com/politik/deutschland/arbeitsmarkt-bundesagentur-fuer-arbeit-kann-mit-wiederaufbau-der-ruecklage-beginnen/28804270.html
1685289979-113;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Der Anwalt der Abgehängten kämpft um seine Sozialstaatsreform;10.11.2022;;https://www.handelsblatt.com/politik/deutschland/hubertus-heil-der-anwalt-der-abgehaengten-kaempft-um-seine-sozialstaatsreform/28802334.html
1685289979-114;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Lohnt sich Arbeit noch? Die wichtigsten Fakten zum Bürgergeld;10.11.2022;;https://www.handelsblatt.com/audio/today/handelsblatt-today-lohnt-sich-arbeit-noch-die-wichtigsten-fakten-zum-buergergeld/28800840.html
1685289979-115;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bundestag beschließt Wohngeld-Reform – durchschnittlich 190 Euro mehr;10.11.2022;;https://www.handelsblatt.com/politik/deutschland/entlastung-bundestag-beschliesst-wohngeld-reform-durchschnittlich-190-euro-mehr/28802330.html
1685289979-116;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Wie sinnvoll ist das Bürgergeld?;10.11.2022;;https://www.handelsblatt.com/meinung/kommentare/leserdebatte-wie-sinnvoll-ist-das-buergergeld/28800536.html
1685289979-117;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bundestag beschließt Bürgergeld – Heil wirbt um Zustimmung der Länder;10.11.2022;;https://www.handelsblatt.com/politik/deutschland/sozialreform-bundestag-beschliesst-buergergeld-heil-wirbt-um-zustimmung-der-laender/28800936.html
1685289979-118;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Arbeit soll sich lohnen – CDU und FDP präsentieren Vorschläge für den Niedriglohnsektor;08.11.2022;;https://www.handelsblatt.com/politik/deutschland/buergergeld-debatte-arbeit-soll-sich-lohnen-cdu-und-fdp-praesentieren-vorschlaege-fuer-den-niedriglohnsektor/28795812.html
1685289979-119;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Bund macht doppelt so viele Schulden wie geplant – Lindner will Schuldenbremse trotzdem einhalten;08.11.2022;;https://www.handelsblatt.com/politik/deutschland/bundeshaushalt-2023-bund-macht-doppelt-so-viele-schulden-wie-geplant-lindner-will-schuldenbremse-trotzdem-einhalten/28795782.html
1685289979-120;https://www.handelsblatt.com/suche/?p3616352=6&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Wie die US-Wahlen ausgehen werden – vier Szenarien;08.11.2022;;https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-wie-die-us-wahlen-ausgehen-werden-vier-szenarien/28794196.html
1685289987-140;https://www.handelsblatt.com/suche/?p3616352=5&sw=B%C3%BCrgergeld&search-ressort=-1&search-doctype=article&search-authorids=-1&search-fromdate=01%2F09%2F22&search-todate=10%2F01%2F23&search-sort=date;Muss der Kryptomarkt reguliert werden?;17.11.2022;;https://www.handelsblatt.com/meinung/kommentare/leserdebatte-muss-der-kryptomarkt-reguliert-werden/28816912.html
